codigo,nombre,cartilla,hex
CW001W,Soft Whisper,Millennium,#e1e5ee
CW002W,Rain Shimmer,Millennium,#eaedf0
CW003W,Mysterious,Millennium,#eff0ee
CW004W,Delicate Blue,Millennium,#e5ebf0
CW005W,Winterscape,Millennium,#e2e6e7
CW006W,Shaded Ice,Millennium,#e3e6e5
CW007W,Blue Twinkle,Millennium,#dfe8f0
CW008W,Blue Glance,Millennium,#e4ecee
CW009W,Barely Blue,Millennium,#ecf1ef
CW010W,Blueberry Haze,Millennium,#dfe7e5
CW011W,Serene White,Millennium,#dee4e0
CW012W,Blueberry Mist,Millennium,#e5e9e6
CW013W,Blueberry Hint,Millennium,#deeae9
CW014W,Blueberry Frost,Millennium,#e8eeeb
CW015W,Perfect Mint,Millennium,#e9f2ee
CW016W,Lime Squeeze,Millennium,#e8efe7
CW017W,Limon,Millennium,#e5e9df
CW018W,Lime Treat,Millennium,#edf4e9
CW019W,Lemonade,Millennium,#f5edd6
CW020W,Lemon White,Millennium,#f6f0e0
CW021W,Lemon Peel,Millennium,#f0eedf
CW022W,Soft Gold,Millennium,#fff1d9
CW023W,Lis Creme,Millennium,#fcf5e3
CW024W,Soaring White,Millennium,#fcf5e7
CW025W,Restorative,Millennium,#f2e7d3
CW026W,Lemon Chiffon,Millennium,#f3eddf
CW027W,Sensitive White,Millennium,#f8f0e0
CW028W,Orange Whip,Millennium,#f7e9d9
CW029W,Orange Peel,Millennium,#f4ecdd
CW030W,Apple Peel,Millennium,#f2ece4
CW031W,Coconut Spirit,Millennium,#efe4d9
CW032W,Orange Foam,Millennium,#f6ebe0
CW033W,Floral White,Millennium,#f6f2e7
CW034W,Coconut Milk,Millennium,#f1e6db
CW035W,Coconut Twist,Millennium,#f4e9de
CW036W,Apple Tint,Millennium,#f4ece4
CW037W,White Filigree,Millennium,#ece1da
CW038W,Apple Delight,Millennium,#eee6e1
CW039W,Coconut Colada,Millennium,#f1ece6
CW040W,Essence,Millennium,#ebdedb
CW041W,Poetic White,Millennium,#ede5df
CW042W,Grape Freeze,Millennium,#f2ece7
CW043W,Grape Reflection,Millennium,#eee9eb
CW044W,Grape Ole,Millennium,#eae5e2
CW045W,Grape Beginnings,Millennium,#f2efec
CW046W,Enchanting,Millennium,#eae5e2
CW047W,Hidden White,Millennium,#e6e2dd
CW048W,Composed,Millennium,#ecedeb
CW049W,Light Antique,Millennium,#e3dbcf
CW050W,Plum Black White,Millennium,#e9e8e2
CW051W,Solo White,Millennium,#eceae9
CW052W,Subtlety Natural,Millennium,#e6e0d4
CW053W,Natural Bisque,Millennium,#e8e2d6
CW054W,Natural Echo,Millennium,#f8f5ea
CW055W,Honeywind,Millennium,#e7e0d3
CW056W,Moonlit,Millennium,#e8e2d6
CW057W,White Solitude,Millennium,#f0ede4
CW058W,Dove Wing,Millennium,#e5e1d3
CW059W,Fog Mist,Millennium,#ebe5d9
CW060W,Sea Cloud,Millennium,#f0ede4
CW061W,Lime Peel,Millennium,#e6e7db
CW062W,Delicate Aire,Millennium,#eae8dd
CW063W,Juliet's White,Millennium,#eff1e7
CW064W,White Pebble,Millennium,#e0ded6
CW065W,Camelle,Millennium,#efede6
CW066W,Picket White,Millennium,#eeede7
CW067W,Soft Mist,Millennium,#dddcd6
CW068W,Intimate White,Millennium,#e8e6de
CW069W,Respectfully White,Millennium,#e7e6e0
CW070W,Plum Black Ashes,Millennium,#e4e3dd
CW071W,Plum Black Absence,Millennium,#e8e5e2
CW072W,Plum Black Whisper,Millennium,#ecebe5
7000W,White Lilac,Millennium,#ece2ec
7001W,Lilac Glaze,Millennium,#e9dceb
7002W,Lavender Bubble,Millennium,#d9c7e3
7003M,Lively Lavender,Millennium,#cab4d7
7004M,Candy Violet,Millennium,#bda3ce
7005D,Purple Sequel,Millennium,#8f45c7
7006N,Purple Passion,Millennium,#806292
7010W,Phantom Violet,Millennium,#e5e0ed
7011W,Lilac Petal,Millennium,#ded8eb
7012W,Violet Veil,Millennium,#d2c9e4
7013M,Peruvian Violet,Millennium,#c4badd
7014M,Sugarplum,Millennium,#b3a6d1
7015D,Super Violet,Millennium,#8f80b4
7016A,Purple Banner,Millennium,#716699
7020W,Frost Violet,Millennium,#e0e1ee
7021W,Cool Lilac,Millennium,#d8d5e9
7022W,Spring Crocus,Millennium,#d2c9e4
7023M,Lupine,Millennium,#b9b9dd
7024M,Poet's Purple,Millennium,#a6aad5
7025D,Paradox,Millennium,#7c81b6
7026N,Purple Eden,Millennium,#5f6397
7030W,White Finesse,Millennium,#ececf0
7031W,Lavender Star,Millennium,#d4d6eb
7032W,Lavender Glow,Millennium,#cccae6
7033M,Lilac Luxury,Millennium,#b2bbdd
7034M,Blue Iris,Millennium,#9ca8d3
7035D,Lavender Blue,Millennium,#7686bc
7036A,Blue Foxglove,Millennium,#5c6a9f
7040W,Sedum Flower,Millennium,#e6ebf1
7041W,Woodflower,Millennium,#ccd9eb
7042W,Parlor Blue,Millennium,#bbcce9
7043M,Blue Feather,Millennium,#aabce0
7044M,Brewster Blue,Millennium,#94add9
7045D,Blue Epic,Millennium,#6988bf
7046A,Etheria Blue,Millennium,#4a6ca5
7050W,Blue Chill,Millennium,#e9f0f7
7051W,Bluet Bouquet,Millennium,#d4e2ee
7052W,Brisk Blue,Millennium,#b5d0ec
7053M,Jonathan,Millennium,#9abfe3
7054M,Venetian Blue,Millennium,#83b0de
7055D,Pompeii,Millennium,#4b8dc7
7056N,Endless Blue,Millennium,#3670ac
7060W,Cool Vista,Millennium,#e7f0f8
7061W,Soft Sky,Millennium,#d0e2f0
7062W,Carolina Blue,Millennium,#b6d6ee
7063M,Blue Palace,Millennium,#93c4e8
7064M,Water Jet,Millennium,#77b5e3
7065D,Triumph Blue,Millennium,#2392cd
7066N,Stars Forever,Millennium,#0072b0
7070W,Bridgewater,Millennium,#d7e6f2
7071W,Meltwater,Millennium,#c6e1f0
7072W,Heron Blue,Millennium,#bcdcf0
7073M,Bluejay,Millennium,#87c8ed
7074M,Brandon's Blue,Millennium,#62bae8
7075D,Electron Blue,Millennium,#0099d5
7076A,Neon Blue,Millennium,#007fc2
7080W,Sistine Blue,Millennium,#cfe9f1
7081W,Clear Day,Millennium,#bfe2f0
7082W,Sky Delight,Millennium,#aedcef
7083M,Blue Yonder,Millennium,#88c9e7
7084M,Parade Blue,Millennium,#68bee3
7085D,Atlas Blue,Millennium,#009ccb
7086A,Gulf Coast,Millennium,#0082b5
7090W,Blue Cool,Millennium,#d7eef3
7091W,Ondine Blue,Millennium,#c9e7f0
7092W,Inspiration Blue,Millennium,#aeddee
7093M,Baby Blue Eyes,Millennium,#88cde4
7094M,Blue Stencil,Millennium,#62c0de
7095D,Granada Blue,Millennium,#00a1c5
7096A,Deep Marine,Millennium,#0088ae
7100W,Blue Facets,Millennium,#e4f3f1
7101W,Blue Gossamer,Millennium,#caebef
7102W,Galactic Blue,Millennium,#ade0e9
7103M,Aqua Whisper,Millennium,#84d2de
7104M,Carribean Waters,Millennium,#5fc5d4
7105D,Matisse Blue,Millennium,#00a7ba
7106A,Aqua Fantasy,Millennium,#008ea0
7110W,Lithesome Blue,Millennium,#d9f1f0
7111W,Intricate Aqua,Millennium,#cbeeee
7112W,Sea Port,Millennium,#b1e7e7
7113M,Birthstone,Millennium,#80d6d9
7114M,Noblesse,Millennium,#60cccf
7115D,Calypso,Millennium,#00b2b3
7116A,Bloodstone,Millennium,#00999a
7120W,Shallow Pool,Millennium,#dff4ef
7121W,Cupid Green,Millennium,#c1eeea
7122W,Water Dance,Millennium,#aae9e3
7123M,Jadeast,Millennium,#82ddd7
7124M,Aqua Fresco,Millennium,#60d3cb
7125D,Indian Bead,Millennium,#00b9ae
7126N,Subterranean,Millennium,#009e91
7130W,Aquarill,Millennium,#e3f6f1
7131W,Green Aqua,Millennium,#c0efe8
7132W,Cyan Waters,Millennium,#a9e9e2
7133M,Tahitian Breeze,Millennium,#83e1d7
7134D,Jade Jewel,Millennium,#1dcaba
7135A,Paradise Waters,Millennium,#00b09d
7136N,Mayan Green,Millennium,#00a08d
7140W,Nile Mist,Millennium,#dff5ec
7141W,Tropic Sealight,Millennium,#bdece0
7142W,Beau Monde,Millennium,#a7e8da
7143M,Wistful Green,Millennium,#92daca
7144D,Island Dream,Millennium,#5cc3ab
7145D,Green Melody,Millennium,#2cb59a
7146N,Pageant Green,Millennium,#009477
7150W,Hint O' Green,Millennium,#ddf2e5
7151W,Mint Frost,Millennium,#c3edd6
7152W,Tender Green,Millennium,#bbecd2
7153M,Summer Green,Millennium,#a5dbbc
7154D,Dutch Bells,Millennium,#7ac79e
7155D,Green Glory,Millennium,#5db98b
7156N,Patrick Green,Millennium,#3c9c6c
7160W,Spring Mint,Millennium,#dff3dc
7161W,Wispy Green,Millennium,#d9f2d7
7162W,Green Gulf,Millennium,#c7edc9
7163M,Bailey's Beads,Millennium,#a3dea6
7164D,Shocking Green,Millennium,#77ca80
7165A,Lucky Shamrock,Millennium,#4fb76e
7166N,Isle O' Green,Millennium,#32a65a
7170W,Bon Bon,Millennium,#e7f4e1
7171W,Willow Sweeps,Millennium,#d9efcf
7172W,Duet Green,Millennium,#cdeac2
7173M,Applejack,Millennium,#b4dba4
7174D,Canopy Green,Millennium,#90c37c
7175A,Belladonna,Millennium,#7ab268
7176N,Green Hedge,Millennium,#66a157
7180W,Pale Parsnip,Millennium,#edf6dc
7181W,Green Pear,Millennium,#e1eec4
7182W,Green Muslin,Millennium,#dbe7b8
7183M,Candy Lime,Millennium,#ccdca1
7184D,Green Balsam,Millennium,#aac877
7185A,Broadleaf,Millennium,#9cbc66
7186N,Bonzai Green,Millennium,#92ae56
7190W,Tiffany Glass,Millennium,#edf4d3
7191W,Rain Reflection,Millennium,#f0efc0
7192W,Tangy Green,Millennium,#e6e8b0
7193M,Green Moth,Millennium,#dfe29c
7194D,Spring Grass,Millennium,#d4d881
7195A,Picnic Green,Millennium,#bfc45d
7196N,Bistro Green,Millennium,#aab352
7200W,Shower Mint,Millennium,#f1f2ca
7201W,Sparkle Green,Millennium,#f1f1c1
7202W,Lilting Green,Millennium,#eceeaf
7203M,Breadfruit,Millennium,#e2e591
7204D,Spring Chartreuse,Millennium,#dadb7a
7205A,Limeburst,Millennium,#c7cb5a
7206N,Pekingese,Millennium,#b7c146
7210W,Greenlet,Millennium,#f5f3c9
7211W,New Spring,Millennium,#f4f5bc
7212W,Spiney Green,Millennium,#f1f1a4
7213D,Yellow Citrus,Millennium,#ebe975
7214D,Lime Tart,Millennium,#eee464
7215A,Lime Flip,Millennium,#ebdf53
7216N,Brite Lime,Millennium,#dfd634
7220W,Yellow Buff,Millennium,#fef7d2
7221W,Fresh Lemon,Millennium,#fff7c5
7222W,Daisy Petal,Millennium,#fff5ab
7223M,Glittering Sun,Millennium,#fff097
7224D,Yellow Jubilee,Millennium,#ffea66
7225A,Competition Yellow,Millennium,#ffe44a
7226N,Sun Valley,Millennium,#ffd700
7230W,Translucence,Millennium,#fff6d7
7231W,Afternoon Delight,Millennium,#fff4bf
